gov_id,title_zh,total_amount,avg_amount_per_week,decline_rate_mean,is_long_tail,release_days,release_round,previous_total_amount,re_release_gap_days,long_tail_strength,region,movie_class,publisher
31541,熱烈,2277277.0,284659.62,1.52,False,56,1,0.0,0,-1.1425567802148342,中國大陸,普遍級,恆星多媒體股份有限公司
31547,辣媽辣妹2,9606265.0,1200783.12,-0.488,False,56,1,0.0,0,1.1249789835961443,美國,普遍級,台灣華特迪士尼股份有限公司
31570,無名指,899357.0,179871.4,0.025,False,42,1,0.0,0,1.8972623953289303,香港,普遍級,華映國際文創股份有限公司
31596,厲陰宅：最終聖事,61420707.0,6824523.0,-0.469,False,63,1,0.0,0,1.2226726843798383,美國,輔15級,美商華納兄弟（遠東）股份有限公司台灣分公司
31650,親愛的家人,223574.0,74524.67,-0.427,False,21,1,0.0,0,0.7943466689216973,日本,普遍級,車庫娛樂股份有限公司
31651,永遠在一起,2399243.0,399873.83,-0.525,False,42,1,0.0,0,0.9243073208012738,美國,輔15級,采昌國際多媒體股份有限公司
31654,電影版小林家的龍女僕：害怕寂寞的龍,7381903.0,922737.88,-0.495,False,56,1,0.0,0,1.109598411554791,日本,保護級,采昌國際多媒體股份有限公司
31662,淒厲人師,181629.0,45407.25,-0.431,False,28,1,0.0,0,0.915770172175003,泰國,輔12級,原創娛樂股份有限公司
31668,突破_三千米的泳氣,5820658.0,1164131.6,0.031,False,35,1,0.0,0,1.7362149256819852,中華民國,保護級,春暉映像有限公司
31670,搖籃凡世,105506.0,26376.5,-0.375,False,28,1,0.0,0,1.0058986952713127,馬來西亞,輔12級,海鵬影業有限公司
31679,凌晨兩點的惡魔,2713145.0,542629.0,-0.502,False,35,1,0.0,0,0.8922962156755714,韓國,普遍級,車庫娛樂股份有限公司
31685,劇場版 咒術迴戰 懷玉・玉折,30261330.0,3362370.0,-0.389,False,63,1,0.0,0,1.4068794918193621,日本,保護級,薩摩亞商羚邦(亞洲)有限公司台灣分公司
31701,麵包超人電影版：小水滴的英雄！,1308160.0,163520.0,2.025,False,56,1,0.0,0,-2.2521551917696248,日本,普遍級,曼迪傳播股份有限公司
31702,光,137277.0,34319.25,-0.396,False,28,1,0.0,0,0.9721004991101966,德國,輔15級,聯影企業股份有限公司
31704,陌路兄弟,225901.0,45180.2,-0.355,False,35,1,0.0,0,1.1556848576520955,中華民國,保護級,綺影映畫有限公司
31712,劇場版 歌之☆王子殿下♪ TABOO NIGHT XXXX with Double Encore (QUARTET NIGHT version),2063774.0,229308.22,107.013,False,63,1,0.0,0,-244.1039534635778,日本,普遍級,曼迪傳播股份有限公司
31713,捏造：史上最惡殺人教師,688939.0,114823.17,-0.371,False,42,1,0.0,0,1.223977483755792,日本,輔12級,光年映畫有限公司
31714,鋼琴之子,170530.0,28421.67,-0.263,False,42,1,0.0,0,1.4341357798537657,西班牙,普遍級,仲業股份有限公司
31715,致我所愛之人,190074.0,21119.33,-0.252,False,63,1,0.0,0,1.7223336495595463,日本,普遍級,中影股份有限公司
31745,血怨,1206370.0,241274.0,-0.505,False,35,1,0.0,0,0.8869209372678872,印尼,輔15級,車庫娛樂股份有限公司
31746,希瑪之歌,20420.0,10210.0,0.0,False,21,1,0.0,0,1.3862943611198906,阿富汗,保護級,飛望影像有限公司
31748,卡夫卡最後的愛,190916.0,38183.2,-0.35,False,42,1,0.0,0,1.2648415968859537,德國,保護級,海鵬影業有限公司
31760,鬼巫,1160569.0,232113.8,-0.586,False,35,1,0.0,0,0.7417884202604148,美國,輔15級,車庫娛樂股份有限公司
31762,約見波布,108045.0,36015.0,-0.241,False,21,1,0.0,0,1.052197420089997,法國,輔12級,海鵬影業有限公司
