gov_id,atmovies_id,gov_title_zh,gov_title_en,region,rating,release_date,publisher,film_length,director,actor_list,source_file
31654,fmjp36592985,電影版小林家的龍女僕：害怕寂寞的龍,Miss Kobayashi's Dragon Maid: A lonely dragon wants to be loved,日本,保護級,2025-09-09,采昌國際多媒體股份有限公司,6240,石原立也,高橋未奈美; 長繩麻理亞; 高田憂希; 高橋未奈美; 桑原由氣; 田村睦心; 高田憂希,31654_電影版小林家的龍女僕：害怕寂寞的龍_fmjp36592985.csv
31662,ftth36590795,淒厲人師,The Tutor,泰國,輔12級,2025-09-26,原創娛樂股份有限公司,6420,布蘭戴德斯德,芽芽茵; 索蘭拉姆阿內拉普; 尼措空卡瓊伯利叻; 鄭子忠; 因托楚克倥拉瑪蘇皖,31662_淒厲人師_ftth36590795.csv
31668,fbtw96355546,突破:三千米的泳氣,Second Life,中華民國,保護級,2025-08-26,春暉映像有限公司,7380,,,31668_突破_三千米的泳氣_fbtw96355546.csv
31685,fjjp36956670,劇場版 咒術迴戰 懷玉・玉折,JUJUTSU KAISEN: Hidden Inventory / Premature Death – The Movie,日本,保護級,2025-09-05,薩摩亞商羚邦(亞洲)有限公司台灣分公司,6600,,,31685_劇場版 咒術迴戰 懷玉・玉折_fjjp36956670.csv
31702,fdde31116299,光,The light,德國,輔15級,2025-10-03,聯影企業股份有限公司,9720,,,31702_光_fdde31116299.csv
31704,fren35231528,陌路兄弟,Road's End in Taiwan,中華民國,保護級,2025-09-24,綺影映畫有限公司,5460,瑪莉亞尼科里埃爾,納曜; 鳳小岳; 皮埃爾安托萬杜比; 林慶台,31704_陌路兄弟_fren35231528.csv
31712,fmjp35652414,劇場版 歌之☆王子殿下♪ TABOO NIGHT XXXX with Double Encore (QUARTET NIGHT version),Movie:Utano☆Princesama TABOO NIGHT XXXX with Double Encore (QUARTET NIGHT version),日本,普遍級,2025-09-05,曼迪傳播股份有限公司,4200,,,31712_劇場版 歌之☆王子殿下♪ TABOO NIGHT XXXX with Double Encore (QUARTET NIGHT version)_fmjp35652414.csv
31713,fsjp34459901,捏造：史上最惡殺人教師,SHAM,日本,輔12級,2025-09-19,光年映畫有限公司,7740,三池崇史,龜梨和也; 大倉孝二; 綾野剛; 木村文乃; 柴崎幸,31713_捏造：史上最惡殺人教師_fsjp34459901.csv
31715,fbjp34388944,致我所愛之人,Belonging,日本,普遍級,2025-09-05,中影股份有限公司,5400,東香織,小泉今日子,31715_致我所愛之人_fbjp34388944.csv
31745,fpin31434122,血怨,PEREWANGAN,印尼,輔15級,2025-09-26,車庫娛樂股份有限公司,6540,艾文蘇亞迪,烏利特里亞尼; 珊蒂; 貝比伊芙琳; 達維娜卡拉莫伊,31745_血怨_fpin31434122.csv
31748,fgde27775137,卡夫卡最後的愛,The Glory of Life,德國,保護級,2025-09-27,海鵬影業有限公司,5880,喬治馬斯; 茱蒂斯凱夫曼,薩賓塔布瑞亞; 曼努埃爾魯比; 亨麗埃特康芙莉絲,31748_卡夫卡最後的愛_fgde27775137.csv
31767,fuko33514451,醜得要命,THE UGLY,韓國,輔12級,2025-09-20,壹壹喜喜電影股份有限公司,6120,延尚昊,朴正民; 權海孝,31767_醜得要命_fuko33514451.csv
31769,flen10374610,大競走,THE LONG WALK,美國,輔15級,2025-09-12,車庫娛樂股份有限公司,6480,法蘭西斯勞倫斯,約書亞奧吉克; 庫柏霍夫曼; 馬克漢米爾; 查理普拉瑪; 王班; 大衛榮松,31769_大競走_flen10374610.csv
31776,fscn35724819,搗破法蘭克,Smashing Frank,香港,輔15級,2025-10-03,華映國際文創股份有限公司,5280,蔡康凝,袁富華; 談善言; 楊偉倫; 岑珈其; 林家熙; 楊偲泳,31776_搗破法蘭克_fscn35724819.csv
31777,faen13650700,奇幻導航,A BIG BOLD BEAUTIFUL JOURNEY,美國,保護級,2025-10-02,美商台灣索尼影業發行股份有限公司台灣分公司,6540,名田高梧,瑪格羅比; 柯林法洛,31777_奇幻導航_faen13650700.csv
31794,fcjp30472557,劇場版『鏈鋸人 蕾潔篇』,Chainsaw Man – The Movie: Reze Arc,日本,輔15級,2025-09-19,美商台灣索尼影業發行股份有限公司台灣分公司,5940,吉原達矢,戶谷菊之介; 菲魯茲藍; 坂田將吾; 楠木燈; 上田麗奈,31794_劇場版『鏈鋸人 蕾潔篇』_fcjp30472557.csv
