gov_id,title_zh,release_round,is_re_release,official_release_date_x,release_start,release_end,release_days,total_weeks,active_weeks,total_amount,total_tickets,avg_amount_per_week,avg_tickets_per_week,peak_amount,peak_amount_week,peak_theater_count,avg_theater_count,second_week_amount_growth_rate,momentum_3w,decline_rate_mean,decline_rate_last,is_long_tail,status,release_initial_date,update_at,momentum_score,promotion_urgency_score,early_decline_weeks,long_tail_weeks,momentum_status,promotion_level,avg_ticket_price,previous_round_count,previous_total_amount,re_release_gap_days,previous_avg_amount,same_class_amount_last_week,market_heat_level,gov_title_zh,gov_title_en,region,movie_class,official_release_date_y,publisher,film_length,director,actor_list,source_file,long_tail_strength,retention_index
30021,辛辛監獄劇團,2,True,2025-02-21,2025-09-15,2025-10-19,35,5,3,62087.0,230.0,20695.67,76.67,27960.0,2025-09-15~2025-09-21,1,1.0,-0.423,-0.154,0.0,0.0,False,下檔,2025-02-17,2025-11-03 11:04:38,-0.357,0.0,0,3,衰退,正常,269.94,1,293131.0,183,73282.75,2439313.4121276597,E,辛辛監獄劇團,Sing Sing,美國,保護級,2025-02-21,薩摩亞商雄讚股份有限公司台灣分公司,,格雷格克韋達,克拉倫斯麥克林; 科爾曼多明哥; 西恩聖荷西,30021_辛辛監獄劇團.csv,1.791759469228055,0.8
30062,鬼吹簫,1,False,2025-10-09,2025-10-06,2025-11-02,28,4,4,401685.0,1588.0,100421.25,397.0,263012.0,2025-10-06~2025-10-12,52,27.75,-0.722,-0.808,-0.554,-0.77,False,上映中,2025-10-06,2025-11-03 11:04:38,-0.984,9.85,3,1,衰退,需行動,252.95,0,0.0,0,0.0,2439313.4121276597,D,鬼吹簫,THE PIPER,美國,輔12級,2025-10-09,車庫娛樂股份有限公司,,埃林格爾托羅森,朱利安山德斯; 夏綠蒂霍普,30062_鬼吹簫.csv,0.7178093089456087,0.723
30155,QUEER,1,False,2025-03-21,2025-03-17,2025-05-11,56,8,8,1795973.0,7128.0,224496.62,891.0,715372.0,2025-03-24~2025-03-30,28,13.0,-0.495,-0.59,0.123,-0.086,False,下檔,2025-03-17,2025-11-03 11:04:38,-0.464,4.77,6,2,衰退,注意,251.96,0,0.0,0,0.0,2439313.4121276597,C,QUEER,QUEER,美國,限制級,2025-03-21,采昌國際多媒體股份有限公司,,盧卡格達戈尼諾,德魯史塔基; 丹尼爾克雷格; 蕾絲莉蔓薇爾,30155_QUEER.csv,1.9269659543238646,0.9385
30366,取精急轉彎,1,False,2025-04-25,2025-04-21,2025-06-22,63,9,9,14073573.0,51991.0,1563730.33,5776.78,6642009.0,2025-04-21~2025-04-27,53,28.33,-0.708,-0.611,-0.58,-0.76,False,下檔,2025-04-21,2025-11-03 11:04:38,-0.973,9.85,8,2,衰退,需行動,270.69,0,0.0,0,0.0,794486.165,A,取精急轉彎,Spermageddon,挪威,輔15級,2025-04-25,原創娛樂股份有限公司,,雷斯穆斯a席維特森; 湯姆維爾科拉,克里斯蒂安弗雷德里克米克爾森; 雅斯肯尼; 娜絲琳庫斯拉維,30366_取精急轉彎.csv,0.9670857390574994,0.71
30436,泣聲驚魂,1,False,2025-05-09,2025-05-05,2025-05-25,21,3,3,80162.0,315.0,26720.67,105.0,47101.0,2025-05-05~2025-05-11,15,11.0,-0.709,-0.837,-0.429,-0.966,False,下檔,2025-05-05,2025-11-03 11:04:38,-0.977,0.0,2,2,衰退,正常,254.48,0,0.0,0,0.0,27571.17,E,泣聲驚魂,The Wailing,西班牙,輔15級,2025-05-09,原創娛樂股份有限公司,,佩德羅馬丁卡萊羅,瑪萊娜比利亞; 伊絲特伊克斯波席多; 瑪蒂爾德奧利維,30436_泣聲驚魂.csv,0.7915740801994574,0.7855
30497,沈睡的水下巨人,1,False,2025-04-25,2025-04-21,2025-07-06,77,11,11,2697918.0,10849.0,245265.27,986.27,1034306.0,2025-04-28~2025-05-04,30,12.27,-0.354,-0.466,5.348,-0.416,True,下檔,2025-04-21,2025-11-03 11:04:38,24.091,5.86,1,2,成長中,注意,248.68,0,0.0,0,0.0,3483269.1605,C,沈睡的水下巨人,SHIPWRECKS TAIWAN,中華民國,普遍級,2025-04-25,牽猴子股份有限公司,,李景白; 李景白; 李景白,,30497_沈睡的水下巨人.csv,-10.804374113278225,-1.674
30530,守護我們的星球,1,False,2025-05-23,2025-05-19,2025-10-26,161,23,22,7907943.0,31912.0,359451.95,1450.55,923159.0,2025-05-19~2025-05-25,41,12.55,-0.653,-0.245,0.812,-0.831,True,上映中,2025-05-19,2025-11-03 11:04:38,2.023,5.33,1,8,成長中,注意,247.8,0,0.0,0,0.0,3483269.1605,B,守護我們的星球,Guardians of our planet,中華民國,普遍級,2025-05-23,牽猴子股份有限公司,,舒夢蘭,,30530_守護我們的星球.csv,0.5974741201054137,0.5722608695652174
30560,長椅小情歌,1,False,2025-07-18,2025-07-14,2025-10-26,105,15,15,2165856.0,8678.0,144390.4,578.53,504818.0,2025-07-21~2025-07-27,23,7.07,-0.479,-0.336,-0.163,-0.514,True,上映中,2025-07-14,2025-11-03 11:04:38,-0.835,7.25,2,4,衰退,需行動,249.58,0,0.0,0,0.0,4661519.714814815,C,長椅小情歌,AT THE BENCH,日本,普遍級,2025-07-18,光年映畫有限公司,,奧山由之,廣瀨鈴; 草彅剛; 吉岡里帆; 仲野太賀; 神木隆之介,30560_長椅小情歌.csv,2.3206567605146966,0.9185
30636,怪譚搜索,1,False,2025-06-06,2025-06-02,2025-07-06,35,5,5,155607.0,600.0,31121.4,120.0,86273.0,2025-06-02~2025-06-08,22,9.8,-0.681,-0.704,-0.451,-0.569,False,下檔,2025-06-02,2025-11-03 11:04:38,-0.775,9.71,4,2,衰退,需行動,259.35,0,0.0,0,0.0,2439313.4121276597,D,怪譚搜索,BLOAT,美國,輔12級,2025-06-06,原創娛樂股份有限公司,,帕普蘿艾森圖,班傑明麥肯錫; 索耶瓊斯; 寶珍娜諾娃柯維克; 小杉健,30636_怪譚搜索.csv,0.983675948606202,0.7745
30655,ATEEZ WORLD TOUR [TOWARDS THE LIGHT：WILL TO POWER] IN CINEMAS,1,False,2025-05-09,2025-05-05,2025-06-22,49,7,7,7470120.0,12561.0,1067160.0,1794.43,3037450.0,2025-05-05~2025-05-11,31,17.71,-0.617,-0.598,-0.479,-0.842,False,下檔,2025-05-05,2025-11-03 11:04:38,-0.912,9.57,6,2,衰退,需行動,594.71,0,0.0,0,0.0,1374924.815,B,ATEEZ WORLD TOUR [TOWARDS THE LIGHT：WILL TO POWER] IN CINEMAS,ATEEZ WORLD TOUR [TOWARDS THE LIGHT：WILL TO POWER] IN CINEMAS,韓國,普遍級,2025-05-09,采昌國際多媒體股份有限公司,,,,30655_ATEEZ WORLD TOUR [TOWARDS THE LIGHT：WILL TO POWER] IN CINEMAS.csv,1.0833890432151945,0.7605
