gov_id,gov_title_zh,gov_title_en,region,rating,official_release_date,publisher,film_length,director,actor_list,source_file
31365,劇場版「鬼滅之刃」無限城篇 第一章 猗窩座再襲,Demon Slayer：Kimetsu no Yaiba Infinity Castle,日本,輔12級,2025-08-06,木棉花國際股份有限公司,,,,31365_劇場版「鬼滅之刃」無限城篇 第一章 猗窩座再襲.csv
31402,天作之合,MATERIALISTS,美國,普遍級,2025-08-23,美商台灣索尼影業發行股份有限公司台灣分公司,,席琳宋,克里斯伊凡; 達柯塔強生; 佩德羅帕斯卡,31402_天作之合.csv
31474,角頭－鬥陣欸,GATAO: Big Brothers,中華民國,限制級,2025-08-21,威視股份有限公司,,姚宏易; 姜瑞智,高捷; 夏靖庭; 蔡振南; 太保; 龍天翔; 喜翔; 王識賢,31474_角頭－鬥陣欸.csv
31502,怪奇寶貝,SKETCH,美國,保護級,2025-09-05,車庫娛樂股份有限公司,,賽斯沃利,妲西卡登; 凱隆考克斯; 比安卡貝爾; 托尼海爾; 庫勞倫斯,31502_怪奇寶貝.csv
31507,一兆$遊戲　劇場版,Trillion Game the Movie,日本,保護級,2025-08-15,天馬行空數位有限公司,,,,31507_一兆$遊戲　劇場版.csv
31520,龍之心-靈界探訪記-,ドラゴン・ハート-霊界探訪記-,日本,輔12級,2025-08-30,台灣幸福科學出版有限公司,,今掛勇,深見梨加; 廣瀨千夏; 淺野真澄,31520_龍之心-靈界探訪記-.csv
31523,樂來越愛你,La La Land,英國,普遍級,2025-09-12,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,,,,31523_樂來越愛你.csv
31531,詭鄉,Eerie Hometown,中華民國,輔12級,2025-09-19,威視股份有限公司,,馬新語,初孟軒; 雷嘉汭; 張翰 (ii); 王滿嬌,31531_詭鄉.csv
31541,熱烈,One and Only,中國大陸,普遍級,2025-09-13,恆星多媒體股份有限公司,,大鵬,王一博; 黃渤,31541_熱烈.csv
31547,辣媽辣妹2,Freakier Friday,美國,普遍級,2025-08-18,台灣華特迪士尼股份有限公司,,妮莎嘉娜卓,潔美李寇蒂斯; 茱利亞芭特絲; 查德麥可莫瑞; 索菲亞漢門斯; 琳賽蘿涵,31547_辣媽辣妹2.csv
31570,無名指,My First of May,香港,普遍級,2025-09-19,華映國際文創股份有限公司,,孔令政,許恩怡; 郭富城; 梁詠琪; 譚耀文; 鮑起靜,31570_無名指.csv
31596,厲陰宅：最終聖事,The Conjuring：Last Rites,美國,輔15級,2025-09-03,美商華納兄弟（遠東）股份有限公司台灣分公司,,麥可查維斯,薇拉法蜜嘉; 派翠克威爾森,31596_厲陰宅：最終聖事.csv
31650,親愛的家人,DEAR FAMILY,日本,普遍級,2025-09-05,車庫娛樂股份有限公司,,月川翔,大泉洋; 菅野美穗; 福本莉子,31650_親愛的家人.csv
31651,永遠在一起,TOGETHER,美國,輔15級,2025-09-26,采昌國際多媒體股份有限公司,,麥可山克斯,戴夫法蘭科; 愛莉森布里,31651_永遠在一起.csv
31654,電影版小林家的龍女僕：害怕寂寞的龍,Miss Kobayashi's Dragon Maid: A lonely dragon wants to be loved,日本,保護級,2025-09-09,采昌國際多媒體股份有限公司,,石原立也,高橋未奈美; 長繩麻理亞; 高田憂希; 高橋未奈美; 桑原由氣; 田村睦心; 高田憂希,31654_電影版小林家的龍女僕：害怕寂寞的龍.csv
31662,淒厲人師,The Tutor,泰國,輔12級,2025-09-26,原創娛樂股份有限公司,,布蘭戴德斯德,芽芽茵; 索蘭拉姆阿內拉普; 尼措空卡瓊伯利叻; 鄭子忠; 因托楚克倥拉瑪蘇皖,31662_淒厲人師.csv
31668,突破:三千米的泳氣,Second Life,中華民國,保護級,2025-10-03,春暉映像有限公司,,,,31668_突破_三千米的泳氣.csv
31670,搖籃凡世,Pavane for an Infant,馬來西亞,輔12級,2025-09-19,海鵬影業有限公司,,張吉安,許恩怡; 廖子妤,31670_搖籃凡世.csv
31679,凌晨兩點的惡魔,PRETTY CRAZY,韓國,普遍級,2025-08-29,車庫娛樂股份有限公司,,李相槿; 李相槿,成東鎰; 潤娥; 安普賢,31679_凌晨兩點的惡魔.csv
31685,劇場版 咒術迴戰 懷玉・玉折,JUJUTSU KAISEN: Hidden Inventory / Premature Death – The Movie,日本,保護級,2025-09-05,薩摩亞商羚邦(亞洲)有限公司台灣分公司,,,,31685_劇場版 咒術迴戰 懷玉・玉折.csv
31701,麵包超人電影版：小水滴的英雄！,ANPANMAN: Chapon's Hero！,日本,普遍級,2025-09-06,曼迪傳播股份有限公司,,,,31701_麵包超人電影版：小水滴的英雄！.csv
31702,光,The light,德國,輔15級,2025-10-03,聯影企業股份有限公司,,,,31702_光.csv
31704,陌路兄弟,Road's End in Taiwan,中華民國,保護級,2025-09-26,綺影映畫有限公司,,瑪莉亞尼科里埃爾,納曜; 鳳小岳; 皮埃爾安托萬杜比; 林慶台,31704_陌路兄弟.csv
31712,劇場版 歌之☆王子殿下♪ TABOO NIGHT XXXX with Double Encore (QUARTET NIGHT version),Movie:Utano☆Princesama TABOO NIGHT XXXX with Double Encore (QUARTET NIGHT version),日本,普遍級,2025-09-05,曼迪傳播股份有限公司,,,,31712_劇場版 歌之☆王子殿下♪ TABOO NIGHT XXXX with Double Encore (QUARTET NIGHT version).csv
31713,捏造：史上最惡殺人教師,SHAM,日本,輔12級,2025-09-19,光年映畫有限公司,,三池崇史,龜梨和也; 大倉孝二; 綾野剛; 木村文乃; 柴崎幸,31713_捏造：史上最惡殺人教師.csv
31714,鋼琴之子,Wolfgang,西班牙,普遍級,2025-09-19,仲業股份有限公司,,哈維爾魯伊斯卡德拉,喬迪卡塔蘭; 安娜卡斯提洛; 米奇艾斯帕貝; 安琪戈尼亞隆斯; 貝爾托羅梅羅,31714_鋼琴之子.csv
31715,致我所愛之人,Belonging,日本,普遍級,2025-09-05,中影股份有限公司,,東香織,小泉今日子,31715_致我所愛之人.csv
31745,血怨,PEREWANGAN,印尼,輔15級,2025-09-26,車庫娛樂股份有限公司,,艾文蘇亞迪,烏利特里亞尼; 珊蒂; 貝比伊芙琳; 達維娜卡拉莫伊,31745_血怨.csv
31746,希瑪之歌,Sima's Song,阿富汗,保護級,2025-10-13,飛望影像有限公司,,,,31746_希瑪之歌.csv
31748,卡夫卡最後的愛,The Glory of Life,德國,保護級,2025-09-27,海鵬影業有限公司,,喬治馬斯; 茱蒂斯凱夫曼,薩賓塔布瑞亞; 曼努埃爾魯比; 亨麗埃特康芙莉絲,31748_卡夫卡最後的愛.csv
31760,鬼巫,WITCHBOARD,美國,輔15級,2025-09-12,車庫娛樂股份有限公司,,恰克羅素,麥蒂遜艾斯曼; 梅蘭妮簡森; 亞倫多明格斯; 傑米坎貝爾鮑爾; 查理特翰; 安東妮亞戴斯培,31760_鬼巫.csv
31762,約見波布,Meeting with Pol Pot,法國,輔12級,2025-09-26,海鵬影業有限公司,,潘禮德,葛雷哥瓦柯林; 伊蓮雅各; 希里爾桂伊,31762_約見波布.csv
31767,醜得要命,THE UGLY,韓國,輔12級,2025-09-20,壹壹喜喜電影股份有限公司,,延尚昊,朴正民; 權海孝,31767_醜得要命.csv
