gov_id,gov_title_zh,gov_title_en,region,rating,official_release_date,publisher,film_length,director,actor_list,source_file
30530,守護我們的星球,Guardians of our planet,中華民國,普遍級,2025-05-23,牽猴子股份有限公司,111,舒夢蘭,,30530_守護我們的星球.csv
30556,雷霆特攻隊 ,THUNDERBOLTS,美國,輔12級,2025-04-30,台灣華特迪士尼股份有限公司,126,傑克史艾爾,茱莉路易絲卓佛; 大衛哈伯; 懷特羅素; 歐嘉柯瑞蘭蔻; 賽巴斯汀史坦; 佛蘿倫絲普伊; 路易斯普曼; 漢娜約翰卡門,30556_雷霆特攻隊 .csv
30560,長椅小情歌,AT THE BENCH,日本,普遍級,2025-07-18,光年映畫有限公司,86,奧山由之,廣瀨鈴; 草彅剛; 吉岡里帆; 仲野太賀; 神木隆之介,30560_長椅小情歌.csv
30636,怪譚搜索,BLOAT,美國,輔12級,2025-06-06,原創娛樂股份有限公司,86,帕普蘿艾森圖,班傑明麥肯錫; 索耶瓊斯; 寶珍娜諾娃柯維克; 小杉健,30636_怪譚搜索.csv
30654,絕命終結站 血脈,FINAL DESTINATION: BLOODLINES,美國,限制級,2025-05-14,美商華納兄弟（遠東）股份有限公司台灣分公司,109,查克利普夫斯基; 亞當史坦,凱特琳聖胡安娜; 蒂奧布萊恩斯; 萊亞吉斯特德; 理查哈蒙; 安娜洛麗,30654_絕命終結站 血脈.csv
30655,ATEEZ WORLD TOUR [TOWARDS THE LIGHT：WILL TO POWER] IN CINEMAS,ATEEZ WORLD TOUR [TOWARDS THE LIGHT：WILL TO POWER] IN CINEMAS,韓國,普遍級,2025-05-09,采昌國際多媒體股份有限公司,125,,,30655_ATEEZ WORLD TOUR [TOWARDS THE LIGHT：WILL TO POWER] IN CINEMAS.csv
30670,星光王子 Dramatic PRISM.1,KING OF PRISM  Dramatic PRISM.1,日本,普遍級,2025-05-30,提恩傳媒實業有限公司,60,,,30670_星光王子 Dramatic PRISM.1.csv
30676,我們意外的勇氣,Unexpected Courage,中華民國,普遍級,2025-10-02,華文創股份有限公司,110,,,30676_我們意外的勇氣.csv
30698,記憶花園,Garden of Remembrance,日本,普遍級,2025-06-27,采昌國際多媒體股份有限公司,17,山田尚子,,30698_記憶花園.csv
30699,此刻的我們,We Live In Time,美國,輔12級,2025-05-16,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,107,約翰克勞利,安德魯加菲爾德; 佛蘿倫絲普伊,30699_此刻的我們.csv
30704,造山者－世紀的賭注,A Chip Odyssey,中華民國,普遍級,2025-06-13,視納華仁文化傳播股份有限公司,105,蕭菊貞,,30704_造山者－世紀的賭注.csv
30717,馴龍高手,HOW TO TRAIN YOUR DRAGON,美國,普遍級,2025-06-07,美商美國環球影片股份有限公司台灣分公司,125,迪恩戴布洛伊,梅森塔姆斯; 妮可帕克; 傑瑞德巴特勒,30717_馴龍高手.csv
30738,星際寶貝：史迪奇,Lilo & Stitch,美國,保護級,2025-05-22,台灣華特迪士尼股份有限公司,107,狄恩弗萊捨坎普,比利馬格努森; 查克葛里芬納奇; 瑪雅基羅哈; 克里斯桑德斯; 席妮奧古東,30738_星際寶貝：史迪奇.csv
