current_week_active_idx,gap_real_week_2to1,gap_real_week_1tocurrent,boxoffice_week_2,boxoffice_week_1,audience_week_2,audience_week_1,screens_week_2,screens_week_1,open_week1_days,open_week1_boxoffice,open_week1_boxoffice_daily_avg,open_week2_boxoffice,amount,film_length_x,is_restricted,release_month_sin,release_month_cos,region,film_length_y
13,0,1,36210,10710,140,45,2,1,4,1575798,393949.5,2059465,10930,214,0,0.866025404,0.5,美國,214
3,0,0,2643087,3264678,9961,12711,66,66,3,2643087,881029,3264678,1522854,98,0,-1,-1.84E-16,中華民國,98
4,0,0,3264678,1522854,12711,5944,66,66,3,2643087,881029,3264678,1144142,98,0,-1,-1.84E-16,中華民國,98
5,0,0,1522854,1144142,5944,4456,66,53,3,2643087,881029,3264678,822684,98,0,-1,-1.84E-16,中華民國,98
6,0,0,1144142,822684,4456,3157,53,40,3,2643087,881029,3264678,385607,98,0,-1,-1.84E-16,中華民國,98
7,0,0,822684,385607,3157,1508,40,28,3,2643087,881029,3264678,118060,98,0,-1,-1.84E-16,中華民國,98
8,0,0,385607,118060,1508,480,28,22,3,2643087,881029,3264678,58535,98,0,-1,-1.84E-16,中華民國,98
3,0,0,1220588,796644,4654,3173,71,71,3,1220588,406862.6667,796644,330969,142,0,-1,-1.84E-16,中華民國,142
4,0,0,796644,330969,3173,1295,71,62,3,1220588,406862.6667,796644,57998,142,0,-1,-1.84E-16,中華民國,142
5,0,0,330969,57998,1295,218,62,9,3,1220588,406862.6667,796644,10350,142,0,-1,-1.84E-16,中華民國,142
6,0,0,57998,10350,218,40,9,2,3,1220588,406862.6667,796644,1680,142,0,-1,-1.84E-16,中華民國,142
7,0,0,10350,1680,40,7,2,1,3,1220588,406862.6667,796644,35110,142,0,-1,-1.84E-16,中華民國,142
3,0,0,1528547,1639381,6123,6438,78,78,3,1528547,509515.6667,1639381,579082,111,0,-0.5,0.866025404,美國,111
4,0,0,1639381,579082,6438,2277,78,77,3,1528547,509515.6667,1639381,151704,111,0,-0.5,0.866025404,美國,111
5,0,0,579082,151704,2277,613,77,39,3,1528547,509515.6667,1639381,45877,111,0,-0.5,0.866025404,美國,111
6,0,0,151704,45877,613,175,39,11,3,1528547,509515.6667,1639381,24646,111,0,-0.5,0.866025404,美國,111
7,0,0,45877,24646,175,84,11,2,3,1528547,509515.6667,1639381,6180,111,0,-0.5,0.866025404,美國,111
8,0,0,24646,6180,84,22,2,1,3,1528547,509515.6667,1639381,1360,111,0,-0.5,0.866025404,美國,111
3,0,0,21897163,23638904,78761,84647,81,84,3,21897163,7299054.333,23638904,20411492,144,0,0.5,0.866025404,日本,144
4,0,0,23638904,20411492,84647,72900,84,84,3,21897163,7299054.333,23638904,17039781,144,0,0.5,0.866025404,日本,144
5,0,0,20411492,17039781,72900,60947,84,86,3,21897163,7299054.333,23638904,10402219,144,0,0.5,0.866025404,日本,144
6,0,0,17039781,10402219,60947,36823,86,86,3,21897163,7299054.333,23638904,8061915,144,0,0.5,0.866025404,日本,144
