gov_id,title_zh,total_amount,avg_amount_per_week,decline_rate_mean,decline_rate_last,peak_amount,avg_theater_count,peak_theater_count,total_weeks,momentum_score,second_week_amount_growth_rate,momentum_3w,region,movie_class,film_length,publisher,same_class_amount_last_week
31251,藍色小精靈大電影,23400.0,5850.0,-0.356,-0.845,11250.0,1.0,1,4,-0.862,-0.467,-0.475,美國,普遍級,,美商美國派拉蒙影片股份有限公司台灣分公司,2439313.4121276597
31301,我在荒野做了一場夢,3391998.0,308363.45,-0.253,-0.813,611002.0,11.73,23,11,-0.902,-0.527,-0.251,中華民國,普遍級,,牽猴子股份有限公司,3483269.1605
31305,世紀編舞大師,247806.0,30975.75,-0.142,0.307,107319.0,4.62,12,8,-0.654,-0.237,-0.424,德國,輔12級,,聯影企業股份有限公司,34492.73333333333
31329,全知讀者視角,78380572.0,5598612.29,-0.212,-0.466,30799172.0,41.29,96,15,0.971,-0.232,-0.392,韓國,輔12級,,采昌國際多媒體股份有限公司,1374924.815
31352,驚奇4超人：第一步,105535.0,35178.33,-0.026,-0.749,57065.0,2.0,2,3,-0.581,0.671,-0.039,美國,保護級,,台灣華特迪士尼股份有限公司,2439313.4121276597
31355,電影蠟筆小新：超華麗！灼熱的春日部舞者們,50437122.0,4585192.91,-0.323,-0.95,21110142.0,56.73,86,11,-0.937,-0.429,-0.537,日本,普遍級,,車庫娛樂股份有限公司,4661519.714814815
31364,凶器,25156397.0,2286945.18,1.658,-0.47,10192343.0,35.64,82,11,-0.686,9.236,2.851,美國,限制級,,美商華納兄弟（遠東）股份有限公司台灣分公司,2439313.4121276597
31365,劇場版「鬼滅之刃」無限城篇 第一章 猗窩座再襲,826692109.0,63591700.69,-0.261,-0.735,233117423.0,94.46,98,13,-0.755,-0.057,-0.246,日本,輔12級,,木棉花國際股份有限公司,4661519.714814815
31402,天作之合,12725063.0,1156823.91,4.55,-0.681,4523100.0,35.36,88,11,-0.872,14.87,4.831,美國,普遍級,,美商台灣索尼影業發行股份有限公司台灣分公司,2439313.4121276597
31474,角頭－鬥陣欸,188457553.0,17132504.82,-0.465,-0.632,77145573.0,64.82,96,11,-0.776,-0.54,-0.55,中華民國,限制級,,威視股份有限公司,3483269.1605
31502,怪奇寶貝,695393.0,115898.83,-0.474,0.0,396312.0,26.0,64,7,9.929,-0.724,-0.856,美國,保護級,,車庫娛樂股份有限公司,2439313.4121276597
31507,一兆$遊戲　劇場版,1590048.0,159004.8,-0.249,0.903,718276.0,9.2,24,11,7.0,-0.677,-0.698,日本,保護級,,天馬行空數位有限公司,4661519.714814815
31520,龍之心-靈界探訪記-,4835706.0,483570.6,0.984,-0.824,1463221.0,13.0,25,10,-0.935,0.752,2.953,日本,輔12級,,台灣幸福科學出版有限公司,4661519.714814815
31523,樂來越愛你,4777799.0,682542.71,-0.475,-0.427,2172733.0,14.14,28,7,-0.812,-0.631,-0.677,英國,普遍級,,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,153621.79833333334
31531,詭鄉,2826818.0,565363.6,1.041,0.102,1300019.0,39.2,60,5,-0.899,-0.649,-0.732,中華民國,輔12級,,威視股份有限公司,3483269.1605
31541,熱烈,2277277.0,284659.62,1.52,-0.776,764525.0,5.38,7,8,-0.884,-0.952,4.797,中國大陸,普遍級,,恆星多媒體股份有限公司,284659.62
31547,辣媽辣妹2,9606265.0,1200783.12,-0.488,-0.949,3796318.0,41.88,81,8,-0.974,-0.024,-0.417,美國,普遍級,,台灣華特迪士尼股份有限公司,2439313.4121276597
31570,無名指,899357.0,179871.4,0.025,0.059,420162.0,29.8,60,6,-0.187,-0.748,-0.539,香港,普遍級,,華映國際文創股份有限公司,1046015.47
31596,厲陰宅：最終聖事,61420707.0,6824523.0,-0.469,-0.858,21578472.0,63.67,92,9,-0.944,-0.323,-0.443,美國,輔15級,,美商華納兄弟（遠東）股份有限公司台灣分公司,2439313.4121276597
31650,親愛的家人,223574.0,74524.67,-0.427,-0.981,130522.0,34.67,49,3,-0.987,-0.7,-0.84,日本,普遍級,,車庫娛樂股份有限公司,4661519.714814815
31651,永遠在一起,2399243.0,399873.83,-0.525,-0.964,994676.0,31.0,61,6,-0.989,-0.57,-0.689,美國,輔15級,,采昌國際多媒體股份有限公司,2439313.4121276597
31654,電影版小林家的龍女僕：害怕寂寞的龍,7381903.0,922737.88,-0.495,-0.866,2985943.0,34.38,67,8,-0.942,-0.374,-0.4,日本,保護級,,采昌國際多媒體股份有限公司,4661519.714814815
31662,淒厲人師,181629.0,45407.25,-0.431,-0.535,99931.0,9.25,17,4,-0.983,-0.667,-0.722,泰國,輔12級,,原創娛樂股份有限公司,134796.16666666666
31668,突破_三千米的泳氣,5820658.0,1164131.6,0.031,-0.649,2325489.0,43.4,58,5,-0.836,-0.649,-0.557,中華民國,保護級,,春暉映像有限公司,3483269.1605
31670,搖籃凡世,105506.0,26376.5,-0.375,-0.98,52061.0,9.0,15,4,-0.981,-0.778,-0.599,馬來西亞,輔12級,,海鵬影業有限公司,26376.5
