gov_id,title_zh,release_round,release_start,release_end,release_days,total_weeks,total_amount,total_tickets,avg_amount_per_week,avg_tickets_per_week,peak_amount,peak_amount_week,peak_theater_count,avg_theater_count,amount_growth_rate,decline_rate_mean,decline_rate_last,is_long_tail,status,is_re_release,release_initial_date,update_at
13460,仲夏魘,79,2025-08-04,2025-08-31,28,4,0.0,0.0,0.0,0.0,0.0,2025-08-04~2025-08-10,0,0.0,,0.0,0.0,False,下檔,True,2019-07-08,2025-10-28 18:37:33
13460,仲夏魘,80,2025-09-01,2025-10-19,49,7,1224762.0,4577.0,174966.0,653.86,537603.0,2025-09-15~2025-09-21,38,15.0,,-0.361,-0.931,False,上映中,True,2019-07-08,2025-10-28 18:37:33
16264,阿基拉,1,2020-06-22,2020-09-20,91,13,12800173.0,44635.0,984628.69,3433.46,3944362.0,2020-06-22~2020-06-28,36,15.77,-0.088,-0.393,0.0,True,下檔,False,2020-06-22,2025-10-28 18:37:33
16264,阿基拉,2,2020-09-21,2020-10-18,28,4,0.0,0.0,0.0,0.0,0.0,2020-09-21~2020-09-27,0,0.0,,0.0,0.0,False,下檔,True,2020-06-22,2025-10-28 18:37:33
16264,阿基拉,3,2020-10-19,2020-11-15,28,4,0.0,0.0,0.0,0.0,0.0,2020-10-19~2020-10-25,0,0.0,,0.0,0.0,False,下檔,True,2020-06-22,2025-10-28 18:37:33
16264,阿基拉,4,2020-11-16,2020-12-13,28,4,0.0,0.0,0.0,0.0,0.0,2020-11-16~2020-11-22,0,0.0,,0.0,0.0,False,下檔,True,2020-06-22,2025-10-28 18:37:33
16264,阿基拉,5,2020-12-14,2021-01-10,28,4,0.0,0.0,0.0,0.0,0.0,2020-12-14~2020-12-20,0,0.0,,0.0,0.0,False,下檔,True,2020-06-22,2025-10-28 18:37:33
16264,阿基拉,6,2021-01-11,2021-02-07,28,4,0.0,0.0,0.0,0.0,0.0,2021-01-11~2021-01-17,0,0.0,,0.0,0.0,False,下檔,True,2020-06-22,2025-10-28 18:37:33
16264,阿基拉,7,2021-02-08,2021-03-07,28,4,0.0,0.0,0.0,0.0,0.0,2021-02-08~2021-02-14,0,0.0,,0.0,0.0,False,下檔,True,2020-06-22,2025-10-28 18:37:33
16264,阿基拉,8,2021-03-08,2021-04-04,28,4,0.0,0.0,0.0,0.0,0.0,2021-03-08~2021-03-14,0,0.0,,0.0,0.0,False,下檔,True,2020-06-22,2025-10-28 18:37:33
