gov_id,title_zh,release_round,is_re_release,official_release_date,release_start,release_end,release_days,total_weeks,active_weeks,total_amount,total_tickets,avg_amount_per_week,avg_tickets_per_week,peak_amount,peak_amount_week,peak_theater_count,avg_theater_count,second_week_amount_growth_rate,,decline_rate_mean,decline_rate_last,is_long_tail,status,release_initial_date,update_at,momentum_score,promotion_urgency_score,early_decline_weeks,long_tail_weeks,momentum_status,promotion_level,avg_ticket_price
29111,台灣超人,1,FALSE,2024/12/6,2024/12/2,2025/7/27,238,34,33,27387382,114694,829920.67,3475.58,2680018,2025-01-13~2025-01-19,71,22.03,-0.571,,2.489,0.066,TRUE,下檔,2024/12/2,2025/10/31 03:06,-0.808,8.61,0,7,衰退,需行動,238.79
29111,台灣超人,2,TRUE,2024/12/6,2025/8/11,2025/9/28,49,7,6,370440,1628,61740,271.33,93080,2025-08-18~2025-08-24,5,2.33,0.477,,0.518,-0.219,FALSE,下檔,2024/12/2,2025/10/31 03:06,2.027,1.49,1,5,成長中,正常,227.54
29378,我家的事,1,FALSE,2025/9/12,2025/9/8,2025/10/26,49,7,7,9901112,38217,1414444.57,5459.57,3264678,2025-09-15~2025-09-21,66,48.71,-0.471,,1.888,-0.694,FALSE,上映中,2025/9/8,2025/10/31 03:06,-0.856,8.49,5,2,衰退,需行動,259.08
29380,失明,1,FALSE,2025/9/19,2025/9/15,2025/10/26,42,6,6,2418229,9387,403038.17,1564.5,1220588,2025-09-15~2025-09-21,71,36,-0.72,,-0.007,-0.838,FALSE,上映中,2025/9/15,2025/10/31 03:06,-0.971,9.87,5,2,衰退,需行動,257.61
29513,異教詭屋,1,FALSE,2024/11/29,2024/11/25,2025/1/19,56,8,8,3976777,15737,497097.12,1967.12,1639381,2024-12-02~2024-12-08,78,35.88,-0.54,,-0.5,-0.78,FALSE,下檔,2024/11/25,2025/10/31 03:06,-0.945,9.47,6,2,衰退,需行動,252.7
29513,異教詭屋,2,TRUE,2024/11/29,2025/9/15,2025/10/19,35,5,3,45506,160,15168.67,53.33,16960,2025-10-13~2025-10-19,1,1,-0.061,,0,0,FALSE,上映中,2024/11/25,2025/10/31 03:06,0.152,0,0,3,穩定,正常,284.41
29611,交換禮物,1,FALSE,2024/12/25,2024/12/23,2025/10/26,308,44,40,8472157,34406,211803.92,860.15,1470683,2024-12-30~2025-01-05,55,9.62,-0.153,,0.161,0,TRUE,上映中,2024/12/23,2025/10/31 03:06,1.531,0,1,3,成長中,正常,246.24
29653,劇場版「進擊的巨人」完結篇THE LAST ATTACK,1,FALSE,2025/1/3,2024/12/30,2025/5/18,140,20,20,144173767,475021,7208688.35,23751.05,23638904,2025-01-06~2025-01-12,86,50.6,-0.537,,8.078,-0.701,TRUE,下檔,2024/12/30,2025/10/31 03:06,-0.594,7.24,1,4,衰退,需行動,303.51
29653,劇場版「進擊的巨人」完結篇THE LAST ATTACK,2,TRUE,2025/1/3,2025/6/23,2025/7/13,21,3,2,15790,70,7895,35,8970,2025-06-23~2025-06-29,1,1,-0.24,,0,0,FALSE,下檔,2024/12/30,2025/10/31 03:06,0,0,1,2,穩定,正常,225.57
29831,乖女孩,1,FALSE,2025/1/17,2025/1/13,2025/3/16,63,9,9,5232729,20524,581414.33,2280.44,2070696,2025-01-20~2025-01-26,77,34.67,-0.397,,-0.449,-0.882,FALSE,下檔,2025/1/13,2025/10/31 03:06,-0.962,9.7,7,3,衰退,需行動,254.96
29831,乖女孩,2,TRUE,2025/1/17,2025/9/22,2025/10/19,28,4,3,52527,189,17509,63,20190,2025-10-13~2025-10-19,1,1,-0.351,,-0.117,0,FALSE,上映中,2025/1/13,2025/10/31 03:06,0.03,0,0,3,穩定,正常,277.92
29882,進行曲,1,FALSE,2025/8/29,2025/8/25,2025/10/26,63,9,9,9859197,38806,1095466.33,4311.78,2629324,2025-08-25~2025-08-31,81,40.89,-0.602,,0.109,-0.322,FALSE,上映中,2025/8/25,2025/10/31 03:06,0.17,4.96,1,3,穩定,注意,254.06
30021,辛辛監獄劇團,1,FALSE,2025/2/21,2025/2/17,2025/3/16,28,4,4,293131,1241,73282.75,310.25,134599,2025-02-17~2025-02-23,13,9,-0.642,,-0.332,-0.424,FALSE,下檔,2025/2/17,2025/10/31 03:06,-0.85,8.17,3,2,衰退,需行動,236.21
30021,辛辛監獄劇團,2,TRUE,2025/2/21,2025/9/15,2025/10/19,35,5,3,62087,230,20695.67,76.67,27960,2025-09-15~2025-09-21,1,1,-0.423,,0,0,FALSE,上映中,2025/2/17,2025/10/31 03:06,-0.357,0,0,3,衰退,正常,269.94
30062,鬼吹簫,1,FALSE,2025/10/9,2025/10/6,2025/10/26,21,3,3,399685,1579,133228.33,526.33,263012,2025-10-06~2025-10-12,52,36.67,-0.722,,-0.482,-0.932,FALSE,上映中,2025/10/6,2025/10/31 03:06,-0.967,0,2,1,衰退,正常,253.13
30155,QUEER,1,FALSE,2025/3/21,2025/3/17,2025/5/11,56,8,8,1795973,7128,224496.62,891,715372,2025-03-24~2025-03-30,28,13,-0.495,,0.123,-0.086,FALSE,下檔,2025/3/17,2025/10/31 03:06,-0.464,4.77,6,2,衰退,注意,251.96
30366,取精急轉彎,1,FALSE,2025/4/25,2025/4/21,2025/6/22,63,9,9,14073573,51991,1563730.33,5776.78,6642009,2025-04-21~2025-04-27,53,28.33,-0.708,,-0.58,-0.76,FALSE,下檔,2025/4/21,2025/10/31 03:06,-0.973,9.85,8,2,衰退,需行動,270.69
30436,泣聲驚魂,1,FALSE,2025/5/9,2025/5/5,2025/5/25,21,3,3,80162,315,26720.67,105,47101,2025-05-05~2025-05-11,15,11,-0.709,,-0.429,-0.966,FALSE,下檔,2025/5/5,2025/10/31 03:06,-0.977,0,2,2,衰退,正常,254.48
30497,沈睡的水下巨人,1,FALSE,2025/4/25,2025/4/21,2025/7/6,77,11,11,2697918,10849,245265.27,986.27,1034306,2025-04-28~2025-05-04,30,12.27,-0.354,,5.348,-0.416,TRUE,下檔,2025/4/21,2025/10/31 03:06,24.091,5.86,1,2,成長中,注意,248.68
30530,守護我們的星球,1,FALSE,2025/5/23,2025/5/19,2025/10/26,161,23,22,7907943,31912,359451.95,1450.55,923159,2025-05-19~2025-05-25,41,12.55,-0.653,,0.812,-0.831,TRUE,上映中,2025/5/19,2025/10/31 03:06,2.023,5.33,1,8,成長中,注意,247.8
30560,長椅小情歌,1,FALSE,2025/7/18,2025/7/14,2025/10/26,105,15,15,2165856,8678,144390.4,578.53,504818,2025-07-21~2025-07-27,23,7.07,-0.479,,-0.163,-0.514,TRUE,上映中,2025/7/14,2025/10/31 03:06,-0.835,7.25,2,4,衰退,需行動,249.58
30636,怪譚搜索,1,FALSE,2025/6/6,2025/6/2,2025/7/6,35,5,5,155607,600,31121.4,120,86273,2025-06-02~2025-06-08,22,9.8,-0.681,,-0.451,-0.569,FALSE,下檔,2025/6/2,2025/10/31 03:06,-0.775,9.71,4,2,衰退,需行動,259.35
30655,ATEEZ WORLD TOUR [TOWARDS THE LIGHT：WILL TO POWER] IN CINEMAS,1,FALSE,2025/5/9,2025/5/5,2025/6/22,49,7,7,7470120,12561,1067160,1794.43,3037450,2025-05-05~2025-05-11,31,17.71,-0.617,,-0.479,-0.842,FALSE,下檔,2025/5/5,2025/10/31 03:06,-0.912,9.57,6,2,衰退,需行動,594.71
30676,我們意外的勇氣,1,FALSE,2025/10/2,2025/9/29,2025/10/26,28,4,3,2339941,8801,779980.33,2933.67,2183741,2025-10-20~2025-10-26,79,27.33,0.846,,5.769,17.308,FALSE,上映中,2025/9/29,2025/10/31 03:06,58.148,0,0,1,成長中,正常,265.87
30699,此刻的我們,1,FALSE,2025/5/16,2025/5/12,2025/6/15,35,5,5,399573,1587,79914.6,317.4,165783,2025-05-19~2025-05-25,20,11.8,-0.555,,-0.376,-0.532,FALSE,下檔,2025/5/12,2025/10/31 03:06,-0.857,9.06,3,2,衰退,需行動,251.78
30699,此刻的我們,2,TRUE,2025/5/16,2025/9/22,2025/10/12,21,3,3,17400,232,5800,77.33,7875,2025-09-29~2025-10-05,1,1,0.129,,-0.182,-0.676,FALSE,下檔,2025/5/12,2025/10/31 03:06,-0.634,0,1,2,衰退,正常,75
30704,造山者－世紀的賭注,1,FALSE,2025/6/13,2025/6/9,2025/10/26,140,20,20,31786838,127382,1589341.9,6369.1,3858264,2025-06-23~2025-06-29,59,28.55,-0.438,,-0.022,-0.401,TRUE,上映中,2025/6/9,2025/10/31 03:06,-0.103,3.91,1,7,穩定,注意,249.54
