gov_id,title_zh,release_round,is_re_release,official_release_date,release_start,release_end,release_days,total_weeks,active_weeks,total_amount,total_tickets,avg_amount_per_week,avg_tickets_per_week,peak_amount,peak_amount_week,peak_theater_count,avg_theater_count,second_week_amount_growth_rate,decline_rate_mean,decline_rate_last,is_long_tail,status,release_initial_date,update_at,momentum_score,promotion_urgency_score,early_decline_weeks,long_tail_weeks,momentum_status,promotion_level,avg_ticket_price
29653,劇場版「進擊的巨人」完結篇THE LAST ATTACK,2,True,2025-01-03,2025-06-23,2025-07-13,21,3,2,15790.0,70.0,7895.0,35.0,8970.0,2025-06-23~2025-06-29,1,1.0,-0.24,0.0,0.0,False,下檔,2024-12-30,2025-10-31 03:06:37,0.0,0.0,1,2,穩定,正常,225.57
29831,乖女孩,1,False,2025-01-17,2025-01-13,2025-03-16,63,9,9,5232729.0,20524.0,581414.33,2280.44,2070696.0,2025-01-20~2025-01-26,77,34.67,-0.397,-0.449,-0.882,False,下檔,2025-01-13,2025-10-31 03:06:37,-0.962,9.7,7,3,衰退,需行動,254.96
29831,乖女孩,2,True,2025-01-17,2025-09-22,2025-10-19,28,4,3,52527.0,189.0,17509.0,63.0,20190.0,2025-10-13~2025-10-19,1,1.0,-0.351,-0.117,0.0,False,上映中,2025-01-13,2025-10-31 03:06:37,0.03,0.0,0,3,穩定,正常,277.92
29882,進行曲,1,False,2025-08-29,2025-08-25,2025-10-26,63,9,9,9859197.0,38806.0,1095466.33,4311.78,2629324.0,2025-08-25~2025-08-31,81,40.89,-0.602,0.109,-0.322,False,上映中,2025-08-25,2025-10-31 03:06:37,0.17,4.96,1,3,穩定,注意,254.06
30021,辛辛監獄劇團,1,False,2025-02-21,2025-02-17,2025-03-16,28,4,4,293131.0,1241.0,73282.75,310.25,134599.0,2025-02-17~2025-02-23,13,9.0,-0.642,-0.332,-0.424,False,下檔,2025-02-17,2025-10-31 03:06:37,-0.85,8.17,3,2,衰退,需行動,236.21
30021,辛辛監獄劇團,2,True,2025-02-21,2025-09-15,2025-10-19,35,5,3,62087.0,230.0,20695.67,76.67,27960.0,2025-09-15~2025-09-21,1,1.0,-0.423,0.0,0.0,False,上映中,2025-02-17,2025-10-31 03:06:37,-0.357,0.0,0,3,衰退,正常,269.94
30062,鬼吹簫,1,False,2025-10-09,2025-10-06,2025-10-26,21,3,3,399685.0,1579.0,133228.33,526.33,263012.0,2025-10-06~2025-10-12,52,36.67,-0.722,-0.482,-0.932,False,上映中,2025-10-06,2025-10-31 03:06:37,-0.967,0.0,2,1,衰退,正常,253.13
30155,QUEER,1,False,2025-03-21,2025-03-17,2025-05-11,56,8,8,1795973.0,7128.0,224496.62,891.0,715372.0,2025-03-24~2025-03-30,28,13.0,-0.495,0.123,-0.086,False,下檔,2025-03-17,2025-10-31 03:06:37,-0.464,4.77,6,2,衰退,注意,251.96
30366,取精急轉彎,1,False,2025-04-25,2025-04-21,2025-06-22,63,9,9,14073573.0,51991.0,1563730.33,5776.78,6642009.0,2025-04-21~2025-04-27,53,28.33,-0.708,-0.58,-0.76,False,下檔,2025-04-21,2025-10-31 03:06:37,-0.973,9.85,8,2,衰退,需行動,270.69
30436,泣聲驚魂,1,False,2025-05-09,2025-05-05,2025-05-25,21,3,3,80162.0,315.0,26720.67,105.0,47101.0,2025-05-05~2025-05-11,15,11.0,-0.709,-0.429,-0.966,False,下檔,2025-05-05,2025-10-31 03:06:37,-0.977,0.0,2,2,衰退,正常,254.48
30497,沈睡的水下巨人,1,False,2025-04-25,2025-04-21,2025-07-06,77,11,11,2697918.0,10849.0,245265.27,986.27,1034306.0,2025-04-28~2025-05-04,30,12.27,-0.354,5.348,-0.416,True,下檔,2025-04-21,2025-10-31 03:06:37,24.091,5.86,1,2,成長中,注意,248.68
30530,守護我們的星球,1,False,2025-05-23,2025-05-19,2025-10-26,161,23,22,7907943.0,31912.0,359451.95,1450.55,923159.0,2025-05-19~2025-05-25,41,12.55,-0.653,0.812,-0.831,True,上映中,2025-05-19,2025-10-31 03:06:37,2.023,5.33,1,8,成長中,注意,247.8
30560,長椅小情歌,1,False,2025-07-18,2025-07-14,2025-10-26,105,15,15,2165856.0,8678.0,144390.4,578.53,504818.0,2025-07-21~2025-07-27,23,7.07,-0.479,-0.163,-0.514,True,上映中,2025-07-14,2025-10-31 03:06:37,-0.835,7.25,2,4,衰退,需行動,249.58
