gov_id,title_zh,release_round,is_re_release,release_start,release_end,release_days,total_weeks,active_weeks,total_amount,total_tickets,avg_amount_per_week,avg_tickets_per_week,peak_amount,peak_amount_week,peak_theater_count,avg_theater_count,amount_growth_rate,decline_rate_mean,decline_rate_last,is_long_tail,status,release_initial_date,update_at
30636,怪譚搜索,1,False,2025-06-02,2025-07-06,35,5,5,155607.0,600.0,31121.4,120.0,86273.0,2025-06-02~2025-06-08,22,9.8,-0.256,-0.451,-0.569,False,下檔,2025-06-02,2025-10-29 11:24:08
30655,ATEEZ WORLD TOUR [TOWARDS THE LIGHT：WILL TO POWER] IN CINEMAS,1,False,2025-05-05,2025-07-13,70,10,8,7535570.0,12680.0,941946.25,1585.0,3037450.0,2025-05-05~2025-05-11,31,15.75,-0.107,-0.419,0.0,False,下檔,2025-05-05,2025-10-29 11:24:08
30655,ATEEZ WORLD TOUR [TOWARDS THE LIGHT：WILL TO POWER] IN CINEMAS,3,True,2025-09-15,2025-10-12,28,4,2,151500.0,242.0,75750.0,121.0,82500.0,2025-09-15~2025-09-21,1,1.0,-0.164,0.0,0.0,False,下檔,2025-05-05,2025-10-29 11:24:08
30676,我們意外的勇氣,1,False,2025-09-29,2025-10-26,28,4,3,2339941.0,8801.0,779980.33,2933.67,2183741.0,2025-10-20~2025-10-26,79,27.33,2.231,5.769,17.308,False,下檔,2025-09-29,2025-10-29 11:24:08
30699,此刻的我們,1,False,2025-05-12,2025-06-15,35,5,5,399573.0,1587.0,79914.6,317.4,165783.0,2025-05-19~2025-05-25,20,11.8,0.039,-0.376,-0.532,False,下檔,2025-05-12,2025-10-29 11:24:08
30699,此刻的我們,2,True,2025-09-22,2025-10-12,21,3,3,17400.0,232.0,5800.0,77.33,7875.0,2025-09-29~2025-10-05,1,1.0,0.129,-0.182,-0.676,False,下檔,2025-05-12,2025-10-29 11:24:08
30704,造山者－世紀的賭注,1,False,2025-05-05,2025-10-26,175,25,25,34144268.0,137013.0,1365770.72,5480.52,3858264.0,2025-06-23~2025-06-29,59,24.4,0.464,0.24,-0.401,True,下檔,2025-05-05,2025-10-29 11:24:08
30717,馴龍高手,1,False,2025-06-02,2025-10-26,147,21,21,131968858.0,438671.0,6284231.33,20889.1,36493327.0,2025-06-16~2025-06-22,95,37.05,26.657,2.113,7.589,True,下檔,2025-06-02,2025-10-29 11:24:08
30738,星際寶貝：史迪奇,1,False,2025-05-19,2025-10-19,154,22,21,105649551.0,390110.0,5030931.0,18576.67,31225707.0,2025-05-26~2025-06-01,95,35.43,0.05,-0.217,-0.696,True,下檔,2025-05-19,2025-10-29 11:24:08
30739,不可能的任務：最終清算,1,False,2025-05-12,2025-10-26,168,24,24,453181690.0,1465558.0,18882570.42,61064.92,132919944.0,2025-05-19~2025-05-25,95,43.54,0.841,-0.167,-0.442,True,下檔,2025-05-12,2025-10-29 11:24:08
30808,滿血復活,1,False,2025-05-26,2025-08-17,84,12,11,5660743.0,21634.0,514613.0,1966.73,2768630.0,2025-05-26~2025-06-01,82,26.09,-0.264,-0.071,-0.673,True,下檔,2025-05-26,2025-10-29 11:24:08
