gov_id,region,rating_class,film_length,release_round,is_re_release,release_days,total_weeks,avg_amount_per_week,peak_amount,amount_growth_rate,decline_rate_mean,previous_round_count,previous_total_amount,total_amount
31701,日本,普遍級,0.0,1.0,False,49.0,7.0,182611.43,623427.0,-0.376,2.315,0.0,0.0,1278280.0
31702,德國,輔15級,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31704,中華民國,保護級,0.0,1.0,False,28.0,4.0,24915.0,52150.0,-0.124,-0.443,0.0,0.0,99660.0
31712,日本,普遍級,0.0,1.0,False,49.0,7.0,293732.71,708575.0,0.004,137.717,0.0,0.0,2056129.0
31713,日本,輔12級,0.0,1.0,False,35.0,5.0,72906.2,241280.0,-0.598,-0.445,0.0,0.0,364531.0
31714,西班牙,普遍級,0.0,1.0,False,35.0,5.0,22093.0,80635.0,-0.782,-0.316,0.0,0.0,110465.0
31715,日本,普遍級,0.0,1.0,False,49.0,7.0,19414.29,45890.0,-0.458,-0.247,0.0,0.0,135900.0
31745,印尼,輔15級,0.0,1.0,False,28.0,4.0,162182.0,537443.0,-0.814,-0.631,0.0,0.0,648728.0
31746,阿富汗,保護級,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31748,德國,保護級,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31760,美國,輔15級,0.0,1.0,False,28.0,4.0,128787.5,475081.0,-0.927,-0.732,0.0,0.0,515150.0
31762,法國,輔12級,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31767,韓國,輔12級,0.0,1.0,False,35.0,5.0,88134.2,213938.0,-0.137,-0.228,0.0,0.0,440671.0
31769,美國,輔15級,0.0,1.0,False,35.0,5.0,603368.4,1901362.0,-0.686,-0.552,0.0,0.0,3016842.0
31776,香港,輔15級,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31777,美國,保護級,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31794,日本,輔15級,0.0,1.0,False,35.0,5.0,37292988.6,49455153.0,-0.036,71.987,0.0,0.0,186464943.0
31796,捷克,普遍級,0.0,1.0,False,35.0,5.0,153743.8,375702.0,-0.163,3.12,0.0,0.0,768719.0
31797,美國,輔15級,0.0,1.0,False,28.0,4.0,4540524.75,9236937.0,-0.383,-0.351,0.0,0.0,18162099.0
31799,日本,普遍級,0.0,1.0,False,28.0,4.0,496426.25,1347080.0,-0.632,-0.433,0.0,0.0,1985705.0
31801,印尼,輔15級,0.0,1.0,False,28.0,4.0,102665.25,338678.0,-0.809,-0.703,0.0,0.0,410661.0
