gov_id,gov_title_zh,gov_title_en,region,rating_class,official_release_date_gov,publisher,film_length,director,actor_list,source_file,title_zh,release_round,is_re_release,release_start,release_end,release_days,total_weeks,active_weeks,total_amount,total_tickets,avg_amount_per_week,avg_tickets_per_week,peak_amount,peak_amount_week,peak_theater_count,avg_theater_count,amount_growth_rate,decline_rate_mean,decline_rate_last,is_long_tail,status,release_initial_date,update_at,previous_round_count,previous_total_amount,re_release_gap_days,previous_avg_amount
30717,馴龍高手,HOW TO TRAIN YOUR DRAGON,美國,普遍級,2025-06-07,美商美國環球影片股份有限公司台灣分公司,,迪恩戴布洛伊,梅森塔姆斯; 妮可帕克; 傑瑞德巴特勒,30717_馴龍高手.csv,馴龍高手,1.0,False,2025-06-09,2025-10-26,140.0,20.0,20.0,130720037.0,435429.0,6536001.85,21771.45,36493327.0,2025-06-16~2025-06-22,95.0,38.05,0.057,2.219,7.589,True,上映中,2025-06-09,2025-10-29 14:04:00,0.0,0.0,0.0,0.0
30738,星際寶貝：史迪奇,Lilo & Stitch,美國,保護級,2025-05-22,台灣華特迪士尼股份有限公司,,狄恩弗萊捨坎普,比利馬格努森; 查克葛里芬納奇; 瑪雅基羅哈; 克里斯桑德斯; 席妮奧古東,30738_星際寶貝：史迪奇.csv,星際寶貝：史迪奇,1.0,False,2025-05-26,2025-10-19,147.0,21.0,20.0,75921984.0,280450.0,3796099.2,14022.5,31225707.0,2025-05-26~2025-06-01,95.0,32.45,-0.414,-0.228,-0.696,True,上映中,2025-05-26,2025-10-29 14:04:00,0.0,0.0,0.0,0.0
30739,不可能的任務：最終清算,MISSION: IMPOSSIBLE -THE FINAL RECKONING,美國,輔12級,2025-05-17,美商美國派拉蒙影片股份有限公司台灣分公司,,克里斯多弗麥奎里,龐克萊門捷夫; 海莉艾特沃; 湯姆克魯斯; 賽門佩格,30739_不可能的任務：最終清算.csv,不可能的任務：最終清算,1.0,False,2025-05-19,2025-10-26,161.0,23.0,23.0,380988305.0,1233179.0,16564708.91,53616.48,132919944.0,2025-05-19~2025-05-25,95.0,41.3,-0.212,-0.174,-0.442,True,上映中,2025-05-19,2025-10-29 14:04:00,0.0,0.0,0.0,0.0
30808,滿血復活,BRING HER BACK,美國,限制級,2025-05-27,美商台灣索尼影業發行股份有限公司台灣分公司,,麥可菲利浦; 丹尼菲利普,莎莉霍金斯,30808_滿血復活.csv,滿血復活,2.0,True,2025-09-15,2025-10-26,42.0,6.0,3.0,45802.0,160.0,15267.33,53.33,19160.0,2025-10-20~2025-10-26,1.0,1.0,-0.355,0.0,0.0,False,上映中,2025-06-02,2025-10-29 14:04:00,1.0,2892113.0,29.0,289211.3
30809,名偵探柯南 獨眼的殘像,Detective Conan The Movie: One-Eyed Flashback,日本,保護級,2025-06-25,普威爾國際股份有限公司,,,,30809_名偵探柯南 獨眼的殘像.csv,名偵探柯南 獨眼的殘像,1.0,False,2025-06-30,2025-10-26,119.0,17.0,17.0,143213908.0,519667.0,8424347.53,30568.65,56906148.0,2025-06-30~2025-07-06,97.0,46.76,-0.45,-0.091,-0.489,True,上映中,2025-06-30,2025-10-29 14:04:00,0.0,0.0,0.0,0.0
30863,我家妹妹不准嫁,Will You Marry Monk?,泰國,輔12級,2025-06-06,仲業股份有限公司,,沃拉武塔溫威西瓦特; 翁加特切姆查倫波恩庫爾; 維拉瓦查約柴孔,鄭壹飛; 可恩娜帕瑟塔拉達那彭; 亞瑞克阿莫蘇帕西瑞,30863_我家妹妹不准嫁.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,
30864,世界就是這樣結束的,The End,英國,輔12級,2025-10-09,東昊影業有限公司,,約書亞奧本海默,蒂妲絲雲頓; 喬治麥凱; tim mcinnerny; 麥可夏儂,30864_世界就是這樣結束的.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,
30960,28年毀滅倒數,28 YEARS LATER,美國,限制級,2025-06-17,美商台灣索尼影業發行股份有限公司台灣分公司,,丹尼鮑伊,阿爾菲威廉斯; 雷夫范恩斯; 亞倫泰勒強森; 茱蒂康默,30960_28年毀滅倒數.csv,28年毀滅倒數,2.0,True,2025-09-15,2025-10-12,28.0,4.0,4.0,114850.0,939.0,28712.5,234.75,51875.0,2025-09-29~2025-10-05,2.0,1.75,2.213,0.543,-0.618,False,下檔,2025-06-23,2025-10-29 14:04:00,1.0,8559988.0,29.0,1069998.5
31027,F1電影,F1,美國,保護級,2025-06-24,美商華納兄弟（遠東）股份有限公司台灣分公司,,喬瑟夫柯辛斯基,凱莉肯頓; 哈維爾巴登; 達姆森伊卓瑞斯; 布萊德彼特,31027_F1電影.csv,F1電影,1.0,False,2025-06-30,2025-10-26,119.0,17.0,17.0,495669826.0,1532434.0,29157048.59,90143.18,96016586.0,2025-06-30~2025-07-06,95.0,74.47,-0.135,-0.239,-0.2,True,上映中,2025-06-30,2025-10-29 14:04:00,0.0,0.0,0.0,0.0
31037,暗影部隊,SHADOW FORCE,美國,輔12級,2025-10-03,車庫娛樂股份有限公司,,喬卡納漢,馬克史壯; 歐馬希; 凱莉華盛頓,31037_暗影部隊.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,
