gov_id,title_zh,release_round,is_re_release,official_release_date,release_start,release_end,release_days,total_weeks,active_weeks,total_amount,total_tickets,avg_amount_per_week,avg_tickets_per_week,peak_amount,peak_amount_week,peak_theater_count,avg_theater_count,second_week_amount_growth_rate,momentum_3w,decline_rate_mean,decline_rate_last,is_long_tail,status,release_initial_date,update_at,momentum_score,promotion_urgency_score,early_decline_weeks,long_tail_weeks,momentum_status,promotion_level,avg_ticket_price,previous_round_count,previous_total_amount,re_release_gap_days,previous_avg_amount,same_class_amount_last_week,market_heat_level
31159,皇家保姆亞瑟,1,False,2025-10-03,2025-09-29,2025-11-02,35,5,5,165385.0,646.0,33077.0,129.2,83803.0,2025-09-29~2025-10-05,18,9.2,-0.661,-0.555,-0.427,-0.921,False,上映中,2025-09-29,2025-11-03 11:04:38,-0.93,9.8,4,2,衰退,需行動,256.01,0,0.0,0,0.0,0,D
31186,超人,1,False,2025-07-08,2025-07-07,2025-11-02,119,17,16,87895470.0,299750.0,5493466.88,18734.38,39777558.0,2025-07-07~2025-07-13,95,36.69,-0.4,-0.504,-0.429,-0.784,True,上映中,2025-07-07,2025-11-03 11:04:38,-0.834,8.96,3,2,衰退,需行動,293.23,0,0.0,0,0.0,0,A
31190,電影哆啦A夢：大雄的繪畫世界物語,1,False,2025-07-18,2025-07-14,2025-11-02,112,16,16,58218665.0,225882.0,3638666.56,14117.62,13994814.0,2025-07-21~2025-07-27,86,42.75,-0.534,-0.383,-0.259,-0.959,True,上映中,2025-07-14,2025-11-03 11:04:38,-0.918,9.65,1,3,衰退,需行動,257.74,0,0.0,0,0.0,0,A
31191,病毒,1,False,2025-09-19,2025-09-15,2025-10-12,28,4,4,783935.0,3211.0,195983.75,802.75,489419.0,2025-09-15~2025-09-21,68,40.75,-0.768,-0.882,-0.584,-0.988,False,下檔,2025-09-15,2025-11-03 11:04:38,-0.999,9.99,3,2,衰退,需行動,244.14,0,0.0,0,0.0,0,D
31201,壞蛋聯盟 2,1,False,2025-07-26,2025-07-21,2025-11-02,105,15,14,17429492.0,67867.0,1244963.71,4847.64,5426184.0,2025-08-04~2025-08-10,91,30.79,28.322,9.352,7.262,-0.897,True,上映中,2025-07-21,2025-11-03 11:04:38,-0.739,7.87,1,3,衰退,需行動,256.82,0,0.0,0,0.0,0,A
31251,藍色小精靈大電影,2,True,2025-07-18,2025-10-06,2025-11-02,28,4,4,23400.0,312.0,5850.0,78.0,11250.0,2025-10-06~2025-10-12,1,1.0,-0.467,-0.475,-0.356,-0.845,False,上映中,2025-07-14,2025-11-03 11:04:38,-0.862,8.9,3,2,衰退,需行動,75.0,1,4127052.0,29,515881.5,0,E
31301,我在荒野做了一場夢,1,False,2025-08-22,2025-08-18,2025-11-02,77,11,11,3391998.0,13994.0,308363.45,1272.18,611002.0,2025-08-25~2025-08-31,23,11.73,-0.527,-0.251,-0.253,-0.813,True,上映中,2025-08-18,2025-11-03 11:04:38,-0.902,8.96,9,6,衰退,需行動,242.39,0,0.0,0,0.0,0,B
31305,世紀編舞大師,1,False,2025-09-05,2025-09-01,2025-10-26,56,8,8,247806.0,1185.0,30975.75,148.12,107319.0,2025-09-08~2025-09-14,12,4.62,-0.237,-0.424,-0.142,0.307,False,上映中,2025-09-01,2025-11-03 11:04:38,-0.654,4.99,0,2,衰退,注意,209.12,0,0.0,0,0.0,0,D
31329,全知讀者視角,1,False,2025-07-21,2025-07-21,2025-11-02,105,15,14,78380572.0,285158.0,5598612.29,20368.43,30799172.0,2025-07-21~2025-07-27,96,41.29,-0.232,-0.392,-0.212,-0.466,True,上映中,2025-07-21,2025-11-03 11:04:38,0.971,0.0,1,2,成長中,正常,274.87,0,0.0,0,0.0,0,A
31352,驚奇4超人：第一步,2,True,2025-07-23,2025-10-13,2025-11-02,21,3,3,105535.0,1001.0,35178.33,333.67,57065.0,2025-10-20~2025-10-26,2,2.0,0.671,-0.039,-0.026,-0.749,False,上映中,2025-07-21,2025-11-03 11:04:38,-0.581,0.0,1,2,衰退,正常,105.43,1,70670296.0,15,7067029.6,0,E
