gov_id,title_zh,release_round,is_re_release,official_release_date,release_start,release_end,release_days,total_weeks,active_weeks,total_amount,total_tickets,avg_amount_per_week,avg_tickets_per_week,peak_amount,peak_amount_week,peak_theater_count,avg_theater_count,amount_growth_rate,decline_rate_mean,decline_rate_last,is_long_tail,status,release_initial_date,update_at,previous_round_count,previous_total_amount,re_release_gap_days,previous_avg_amount
31305,世紀編舞大師,1,False,2025-09-05,2025-09-08,2025-10-26,49,7,7,187494.0,902.0,26784.86,128.86,107319.0,2025-09-08~2025-09-14,12,3.71,-0.659,-0.162,0.307,False,上映中,2025-09-08,2025-10-29 12:08:36,0,0.0,0,0.0
31329,全知讀者視角,1,False,2025-07-21,2025-07-21,2025-10-26,98,14,13,78361652.0,285027.0,6027819.38,21925.15,30799172.0,2025-07-21~2025-07-27,96,44.38,-0.232,-0.192,2.688,True,上映中,2025-07-21,2025-10-29 12:08:36,0,0.0,0,0.0
31352,驚奇4超人：第一步,1,False,2025-07-23,2025-07-28,2025-10-26,91,13,11,33447176.0,116567.0,3040652.36,10597.0,20373334.0,2025-07-28~2025-08-03,93,37.64,-0.619,10.825,0.671,True,上映中,2025-07-28,2025-10-29 12:08:36,0,0.0,0,0.0
31355,電影蠟筆小新：超華麗！灼熱的春日部舞者們,1,False,2025-08-22,2025-08-25,2025-10-26,63,9,9,34586826.0,130689.0,3842980.67,14521.0,21110142.0,2025-08-25~2025-08-31,86,58.56,-0.74,-0.289,0.243,False,上映中,2025-08-25,2025-10-29 12:08:36,0,0.0,0,0.0
31364,凶器,1,False,2025-08-08,2025-08-11,2025-10-19,70,10,10,24729657.0,89217.0,2472965.7,8921.7,10192343.0,2025-08-11~2025-08-17,82,38.5,-0.192,1.823,-0.47,False,上映中,2025-08-11,2025-10-29 12:08:36,0,0.0,0,0.0
31365,劇場版「鬼滅之刃」無限城篇 第一章 猗窩座再襲,1,False,2025-08-06,2025-08-11,2025-10-26,77,11,11,648538675.0,2001208.0,58958061.36,181928.0,233117423.0,2025-08-11~2025-08-17,98,94.73,-0.349,-0.242,-0.075,True,上映中,2025-08-11,2025-10-29 12:08:36,0,0.0,0,0.0
31402,天作之合,1,False,2025-08-23,2025-08-25,2025-10-26,63,9,9,12649513.0,45841.0,1405501.44,5093.44,4523100.0,2025-09-01~2025-09-07,88,43.0,0.135,5.637,-0.6,False,上映中,2025-08-25,2025-10-29 12:08:36,0,0.0,0,0.0
31474,角頭－鬥陣欸,1,False,2025-08-21,2025-08-25,2025-10-26,63,9,9,111270070.0,406093.0,12363341.11,45121.44,62159840.0,2025-08-25~2025-08-31,96,67.89,-0.584,-0.498,-0.392,False,上映中,2025-08-25,2025-10-29 12:08:36,0,0.0,0,0.0
31502,怪奇寶貝,1,False,2025-09-05,2025-09-08,2025-10-19,42,6,5,299081.0,1192.0,59816.2,238.4,254974.0,2025-09-08~2025-09-14,64,18.4,-0.881,-0.569,0.0,False,上映中,2025-09-08,2025-10-29 12:08:36,0,0.0,0,0.0
31507,一兆$遊戲　劇場版,1,False,2025-08-15,2025-08-18,2025-10-26,70,10,9,871772.0,3427.0,96863.56,380.78,541411.0,2025-08-18~2025-08-24,24,7.56,-0.561,-0.277,0.903,False,上映中,2025-08-18,2025-10-29 12:08:36,0,0.0,0,0.0
31520,龍之心-靈界探訪記-,1,False,2025-08-30,2025-09-01,2025-10-26,56,8,8,4805056.0,21179.0,600632.0,2647.38,1463221.0,2025-09-15~2025-09-21,25,15.75,8.066,1.333,-0.629,False,上映中,2025-09-01,2025-10-29 12:08:36,0,0.0,0,0.0
31523,樂來越愛你,1,False,2025-09-12,2025-09-15,2025-10-26,42,6,6,2605066.0,7678.0,434177.67,1279.67,1872490.0,2025-09-15~2025-09-21,28,11.83,-0.739,-0.554,-0.427,False,上映中,2025-09-15,2025-10-29 12:08:36,0,0.0,0,0.0
31531,詭鄉,1,False,2025-09-19,2025-09-22,2025-10-19,28,4,4,1523439.0,5722.0,380859.75,1430.5,1061895.0,2025-09-22~2025-09-28,60,34.0,-0.635,-0.406,0.102,False,上映中,2025-09-22,2025-10-29 12:08:36,0,0.0,0,0.0
31541,熱烈,1,False,2025-09-13,2025-09-15,2025-10-26,42,6,6,1984297.0,7694.0,330716.17,1282.33,764525.0,2025-09-22~2025-09-28,7,6.17,15.509,2.156,-0.482,False,上映中,2025-09-15,2025-10-29 12:08:36,0,0.0,0,0.0
31547,辣媽辣妹2,1,False,2025-08-18,2025-08-18,2025-10-12,56,8,8,9606265.0,35550.0,1200783.12,4443.75,3796318.0,2025-08-18~2025-08-24,81,41.88,-0.024,-0.488,-0.949,False,下檔,2025-08-18,2025-10-29 12:08:36,0,0.0,0,0.0
